open time,open,high,low,close
2021-10-31 16:25:00,4202.83,4228.71,4201.01,4226.1
2021-10-31 16:30:00,4226.1,4227.97,4217.57,4225.58
2021-10-31 16:35:00,4225.22,4226.38,4218.58,4221.01
2021-10-31 16:40:00,4221.02,4230.16,4221.02,4228.85
2021-10-31 16:45:00,4228.84,4241.61,4228.81,4240.44
2021-10-31 16:50:00,4240.45,4245.18,4239.13,4244.0
2021-10-31 16:55:00,4243.99,4245.0,4237.2,4239.26
2021-10-31 17:00:00,4239.27,4244.33,4230.93,4232.37
2021-10-31 17:05:00,4232.37,4235.25,4229.17,4230.83
2021-10-31 17:10:00,4231.15,4238.06,4229.64,4237.31
2021-10-31 17:15:00,4237.32,4250.04,4235.0,4248.37
2021-10-31 17:20:00,4249.17,4259.56,4247.44,4258.25
2021-10-31 17:25:00,4258.25,4261.21,4257.92,4260.61
2021-10-31 17:30:00,4260.6,4261.09,4252.48,4257.5
2021-10-31 17:35:00,4257.51,4257.51,4248.36,4249.4
2021-10-31 17:40:00,4249.4,4250.99,4243.34,4248.49
2021-10-31 17:45:00,4248.49,4252.13,4240.62,4251.05
2021-10-31 17:50:00,4251.04,4259.5,4251.0,4255.0
2021-10-31 17:55:00,4255.0,4255.01,4241.89,4242.98
2021-10-31 18:00:00,4243.02,4248.01,4237.86,4241.44
2021-10-31 18:05:00,4241.41,4241.41,4231.38,4232.99
2021-10-31 18:10:00,4232.98,4236.54,4226.4,4230.52
2021-10-31 18:15:00,4230.52,4231.96,4220.89,4224.0
2021-10-31 18:20:00,4224.0,4233.76,4216.99,4228.49
2021-10-31 18:25:00,4228.48,4236.0,4223.26,4224.56
2021-10-31 18:30:00,4224.91,4228.85,4222.58,4226.94
2021-10-31 18:35:00,4226.94,4240.73,4225.32,4237.87
2021-10-31 18:40:00,4238.18,4241.14,4232.0,4239.65
2021-10-31 18:45:00,4239.65,4245.0,4234.96,4243.55
2021-10-31 18:50:00,4243.52,4255.1,4240.81,4255.04
2021-10-31 18:55:00,4255.03,4257.81,4245.28,4251.91
2021-10-31 19:00:00,4252.09,4258.66,4252.09,4256.96
2021-10-31 19:05:00,4257.0,4257.83,4252.14,4256.56
2021-10-31 19:10:00,4256.56,4258.52,4253.07,4255.69
2021-10-31 19:15:00,4255.7,4256.99,4252.1,4255.0
2021-10-31 19:20:00,4255.14,4257.09,4251.51,4255.93
2021-10-31 19:25:00,4255.92,4259.92,4254.29,4259.92
2021-10-31 19:30:00,4259.83,4260.85,4258.36,4260.05
2021-10-31 19:35:00,4260.43,4261.99,4257.0,4257.07
2021-10-31 19:40:00,4257.05,4257.05,4251.6,4253.21
2021-10-31 19:45:00,4253.63,4261.83,4251.03,4252.83
2021-10-31 19:50:00,4252.82,4259.7,4249.8,4252.79
2021-10-31 19:55:00,4252.69,4253.22,4245.5,4250.69
2021-10-31 20:00:00,4250.82,4253.22,4233.33,4234.88
2021-10-31 20:05:00,4234.61,4243.34,4234.61,4243.34
2021-10-31 20:10:00,4243.75,4259.8,4240.58,4258.17
2021-10-31 20:15:00,4258.07,4267.79,4251.6,4263.98
2021-10-31 20:20:00,4263.99,4274.18,4262.41,4269.02
2021-10-31 20:25:00,4269.02,4272.8,4268.37,4269.0
2021-10-31 20:30:00,4269.01,4272.79,4262.44,4271.0
2021-10-31 20:35:00,4270.52,4271.02,4266.56,4270.8
2021-10-31 20:40:00,4270.8,4272.29,4260.0,4269.32
2021-10-31 20:45:00,4269.06,4271.0,4264.87,4270.99
2021-10-31 20:50:00,4270.99,4274.28,4265.0,4265.75
2021-10-31 20:55:00,4266.21,4271.22,4263.27,4267.73
2021-10-31 21:00:00,4267.79,4273.83,4266.17,4272.48
2021-10-31 21:05:00,4272.62,4272.87,4265.37,4266.77
2021-10-31 21:10:00,4267.0,4270.73,4265.49,4270.73
2021-10-31 21:15:00,4270.73,4286.54,4268.83,4278.87
2021-10-31 21:20:00,4278.83,4281.52,4273.47,4279.65
2021-10-31 21:25:00,4279.65,4279.65,4271.09,4277.85
2021-10-31 21:30:00,4278.0,4298.83,4278.0,4298.27
2021-10-31 21:35:00,4298.28,4308.24,4297.21,4307.12
2021-10-31 21:40:00,4307.11,4312.27,4294.8,4312.27
2021-10-31 21:45:00,4312.27,4330.0,4305.87,4308.94
2021-10-31 21:50:00,4308.94,4309.42,4300.1,4306.53
2021-10-31 21:55:00,4306.53,4317.63,4303.56,4309.01
2021-10-31 22:00:00,4309.01,4320.16,4302.01,4305.77
2021-10-31 22:05:00,4305.02,4312.43,4297.15,4306.21
2021-10-31 22:10:00,4306.3,4306.73,4294.0,4297.07
2021-10-31 22:15:00,4297.14,4307.59,4295.32,4307.21
2021-10-31 22:20:00,4307.17,4312.22,4306.08,4311.45
2021-10-31 22:25:00,4311.45,4314.84,4306.22,4308.82
2021-10-31 22:30:00,4308.83,4311.97,4305.32,4305.32
2021-10-31 22:35:00,4305.33,4305.95,4295.3,4297.62
2021-10-31 22:40:00,4297.61,4302.33,4294.57,4300.35
2021-10-31 22:45:00,4300.36,4305.9,4296.5,4303.59
2021-10-31 22:50:00,4303.58,4303.59,4296.46,4297.52
2021-10-31 22:55:00,4297.52,4303.0,4295.01,4295.97
2021-10-31 23:00:00,4295.97,4304.84,4293.18,4293.65
2021-10-31 23:05:00,4293.63,4293.65,4274.0,4274.0
2021-10-31 23:10:00,4274.0,4286.47,4274.0,4281.45
2021-10-31 23:15:00,4281.45,4295.3,4281.45,4295.3
2021-10-31 23:20:00,4295.31,4302.19,4294.6,4301.82
2021-10-31 23:25:00,4301.82,4301.83,4290.6,4291.98
2021-10-31 23:30:00,4291.98,4297.42,4281.77,4290.14
2021-10-31 23:35:00,4290.13,4298.22,4290.04,4295.34
2021-10-31 23:40:00,4295.51,4299.67,4294.69,4298.33
2021-10-31 23:45:00,4298.33,4300.85,4292.11,4292.11
2021-10-31 23:50:00,4292.08,4293.99,4286.54,4291.25
2021-10-31 23:55:00,4291.33,4296.27,4287.37,4290.05
2021-11-01 00:00:00,4290.41,4300.49,4280.0,4293.16
2021-11-01 00:05:00,4292.47,4306.68,4292.47,4306.68
2021-11-01 00:10:00,4306.74,4317.8,4301.71,4314.29
2021-11-01 00:15:00,4314.22,4325.0,4312.0,4324.64
2021-11-01 00:20:00,4324.63,4325.3,4312.8,4314.6
2021-11-01 00:25:00,4314.6,4325.21,4314.45,4318.16
2021-11-01 00:30:00,4318.15,4326.0,4313.01,4313.24
2021-11-01 00:35:00,4313.24,4318.61,4309.2,4316.79
